Crop,Season,Precipitation,Max Temperature,Min Temp,Ground water ,Cloud Cover
Rice,0.34,135.0665,28.7395,20.965,5.355,62.48975
Rice,0.34,147.3238,28.88625,21.11,7.0665,59.83
Rice,0.25,14.91967,35.81433,22.197,8.9912,25.411
Rice,0.34,102.206,28.85625,21.09075,8.55,64.049
Rice,0.25,31.771,36.79533,23.03033,7.31,25.76233
Rice,0.34,93.34,29.09725,21.33125,7.81,58.0215
Rice,0.416,35.7646,30.942,18.9302,8.1873,31.61
Rice,0.25,60.351,33.506,20.627,9.28,34.903
Rice,0.34,154.3833,29.0705,20.4975,9.969,67.41225
Rice,0.25,71.561,34.821,21.932,9.13,32.56067
Rice,0.34,211.0305,28.82675,20.262,8.8,71.9635
Rice,0.416,13.7484,30.091,18.0848,6.88,30.077
Rice,0.25,100.63,33.607,20.72067,7.55,38.39867
Rice,0.34,117.258,28.88825,20.324,7.69,67.8145
Rice,0.416,4.8236,28.4634,18.4252,11.88,30.2716
Rice,0.25,53.37067,33.63067,20.76367,11.88,31.55967
Rice,0.34,179.972,28.57125,19.99575,11.89,68.09525
Rice,0.416,7.062,30.168,18.175,10.6,33.4876
Rice,0.25,58.10933,34.175,21.27633,8.4,35.89867
Rice,0.34,118.6308,28.82,20.254,7.08,71.26075
Rice,0.25,74.156,34.32733,21.44133,9.56,35.84333
Rice,0.34,78.785,29.338,20.78,12.2,64.07225
Rice,0.25,19.57833,33.60367,22.341,7.84,26.121
Rice,0.34,286.4598,28.726,22.119,8.84,59.4075
Rice,0.25,18.01567,34.698,23.44167,15.4,23.68067
Rice,0.34,265.374,28.692,22.085,11.19,65.5975
Rice,0.25,31.99267,34.07033,22.81167,11.23,35.879
Rice,0.34,250.8363,28.261,21.6545,21.8,63.9805
Rice,0.34,275.347,28.463,21.858,15.11,60.7615
Rice,0.25,13.25833,33.76967,22.51067,10.92,26.56633
Rice,0.34,184.7958,28.33,21.72575,16.23,64.5395
Rice,0.25,30.54667,34.681,23.42233,11.17,27.07
Rice,0.34,169.1795,28.64425,22.04,16.89,59.69625
Rice,0.25,35.57733,35.39133,22.35733,11.65,26.886
Rice,0.34,114.609,29.6555,21.79575,10.6,59.5475
Rice,0.25,37.2,36.702,23.67067,8.4,23.13467
Rice,0.34,155.5625,29.5285,21.6565,7.08,64.44875
Rice,0.25,48.40733,35.79267,22.75833,9.56,31.443
Rice,0.34,111.8915,29.287,21.43475,12.2,61.5625
Rice,0.25,40.49467,35.58667,22.56067,7.84,22.667
Rice,0.34,137.5513,29.2345,21.374,8.84,60.4405
Rice,0.25,28.09867,35.92633,22.894,15.4,25.80667
Rice,0.34,95.84,29.35175,21.49325,12.144,64.2685
Rice,0.25,35.09967,36.453,23.425,12.402,26.12233
Rice,0.34,79.59725,29.66425,21.813,10.3564,57.36075
Rice,0.416,24.6296,33.605,19.7484,14.256,19.776
Rice,0.34,125.9133,31.849,22.27025,14.76025,57.51625
Rice,0.34,213.2953,32.1085,22.51925,18.5617,64.191
Rice,0.25,28.916,39.09667,24.55233,4.944,26.194
Rice,0.34,129.9213,31.355,21.77275,7.56,61.9865
Rice,0.416,8.414,32.705,18.8624,8.64,16.0854
Rice,0.34,141.8448,31.7215,22.13075,3.76,57.8065
Rice,0.416,4.7096,32.7832,18.9292,9.96,17.7518
Rice,0.34,124.164,31.744,22.16025,7.53,64.5785
Rice,0.34,90.88625,31.802,22.22375,8.61,55.96725
Rice,0.34,105.6635,30.83275,22.2095,6.49,57.20925
Rice,0.34,142.0928,30.87475,22.25125,7.53,63.40725
Rice,0.34,114.5983,30.33,21.70075,10.92,61.2295
Rice,0.34,119.9143,30.56175,21.9365,16.23,58.16825
Rice,0.34,98.021,30.51475,21.8955,11.17,63.22375
Rice,0.34,77.5985,30.743,22.125,16.89,56.447
Rice,0.25,33.646,32.87067,22.91567,10.6,30.239
Rice,0.34,422.1148,28.938,22.46475,8.4,63.33275
Rice,0.25,53.72033,33.83067,23.889,7.08,29.54667
Rice,0.34,507.3053,28.64425,22.16825,9.56,68.15225
Rice,0.25,77.559,32.80533,22.874,12.2,39.24667
Rice,0.34,326.1735,28.60925,22.13675,7.84,65.45025
Rice,0.25,47.314,32.72467,22.783,8.84,30.44333
Rice,0.34,395.1835,28.3535,21.88,10.6,64.18725
Rice,0.25,60.554,33.07833,23.147,8.4,33.36833
Rice,0.34,337.3485,28.564,22.0925,7.08,66.748
Rice,0.25,62.926,33.69367,23.75367,9.56,32.97567
Rice,0.34,242.1115,28.94625,22.466,12.2,61.528
Rice,0.416,27.9192,31.0388,18.9162,7.84,24.891
Rice,0.25,45.26067,33.522,21.00733,8.84,27.52367
Rice,0.34,134.1485,28.25175,20.67625,10.6,61.958
Rice,0.416,12.2134,30.292,18.1662,8.4,23.2306
Rice,0.34,192.3075,28.081,20.513,7.08,66.8525
Rice,0.25,45.667,34.753,22.236,9.56,24.91233
Rice,0.416,6.827,30.1634,18.0418,12.2,22.6182
Rice,0.34,128.0405,27.9665,20.38775,7.84,63.57725
Rice,0.25,64.28233,33.74167,21.23833,8.84,33.18133
Rice,0.416,4.2174,30.484,18.3678,6.0283,23.6294
Rice,0.25,47.09467,33.645,21.13,6.1691,24.81167
Rice,0.34,165.9378,27.82575,20.25675,5.117,62.816
Rice,0.416,8.4676,30.5472,18.43,5.5538,26.1688
Rice,0.25,44.76333,33.99767,21.49033,7.7839,28.09733
Rice,0.34,108.2733,27.9465,20.38325,4.6053,66.21975
Rice,0.25,46.60433,34.43033,21.923,6.4859,28.461
Rice,0.34,84.432,28.364,20.78425,5.9121,59.69025
Rice,0.416,13.2144,30.5114,18.7356,4.1307,22.3868
Rice,0.25,40.02133,34.12633,22.77633,8.6125,24.46933
Rice,0.34,296.2533,28.04525,21.0445,6.4685,66.49275
Rice,0.416,5.5568,30.383,18.5964,5.3137,21.715
Rice,0.25,56.27533,33.21433,21.872,7.0653,34.19933
Rice,0.34,203.114,27.91675,20.91025,8.5803,63.729
Rice,0.25,45.21933,33.07567,21.71567,9.0205,25.08
Rice,0.34,254.7768,27.81375,20.811,10.4919,62.38075
Rice,0.25,37.10833,33.33733,21.97467,6.8036,27.617
Rice,0.34,165.9595,27.8905,20.8905,7.7424,65.588
Rice,0.25,43.506,33.882,22.539,9.7705,27.89033
Rice,0.34,129.6993,28.278,21.27225,6.9484,59.80725
Rice,0.416,30.3796,31.6142,19.6972,10.3339,23.1536
Rice,0.25,22.171,32.82367,22.671,16.79,26.59867
Rice,0.34,325.5545,28.69175,22.3595,9.1,61.58675
Rice,0.416,13,30.9242,19.0228,9.24,21.721
Rice,0.25,27.26367,33.79567,23.66367,9.64,24.66167
Rice,0.34,335.8505,28.591,22.259,9.65,67.1055
Rice,0.25,39.934,33.11433,22.96333,8.8,36.645
Rice,0.34,300.16,28.31325,21.981,11.65,65.17325
Rice,0.25,43.999,32.80533,22.66633,5.3041,26.184
Rice,0.34,355.7015,28.36875,22.03525,7.7538,62.4235
Rice,0.25,20.169,32.895,22.756,5.6329,27.69133
Rice,0.34,217.5165,28.3245,21.9895,8.4263,66.05275
Rice,0.25,31.02167,33.74,23.60833,6.9018,27.984
Rice,0.34,200.6673,28.65475,22.3205,5.1124,61.1325
Rice,0.416,10.6094,30.9866,18.1604,5.852,20.486
Rice,0.25,27.412,35.287,23.073,9.2097,23.93833
Rice,0.34,207.8645,28.6255,21.4595,11.5811,65.418
Rice,0.25,53.712,34.53933,22.315,8.86,34.893
Rice,0.34,181.342,28.30625,21.155,10.95,63.2795
Rice,0.25,42.4095,34.21467,22.014,7.89,24.79867
Rice,0.34,214.0413,28.377,21.2135,9.1,61.037
Rice,0.416,10.2802,31.5484,18.7222,9.24,22.93
Rice,0.25,13.718,34.389,22.18867,9.64,26.85833
Rice,0.34,133.6615,28.38725,21.2315,7.65,64.80675
Rice,0.25,35.392,35.16233,22.971,10.85,27.047
Rice,0.34,122.813,28.666,21.50325,11.65,59.09025
Rice,0.25,25.20233,38.25633,23.68933,6.91,27.16267
Rice,0.416,17.664,33.8342,20.1544,5.0609,19.3074
Rice,0.34,104.029,31.96275,22.56225,5.5074,57.03275
Rice,0.25,8.666667,38.25633,25.36133,9.7212,21.269
Rice,0.416,4.139,33.8342,18.92,8.86,15.733
Rice,0.34,161.8565,31.96275,22.62825,7.21,62.57625
Rice,0.416,1.2708,32.5762,18.9092,10.11,14.2942
Rice,0.25,29.735,39.07333,24.51333,6.41,27.71933
Rice,0.34,103.662,31.45625,22.06025,9.87,60.09125
Rice,0.416,4.9118,32.905,19.2286,11.26,16.6614
Rice,0.25,26.79933,38.70533,24.14633,6.32,19.38433
Rice,0.34,123.6825,31.6585,22.26075,12.2,57.4165
Rice,0.416,4.1432,33.1114,19.4324,15.85,18.177
Rice,0.25,10.34,39.049,24.48967,13.31,23.21767
Rice,0.34,104.9513,31.731,22.325,14.98,63.205
Rice,0.25,24.69233,39.72567,25.167,14.4,23.39433
Rice,0.34,78.655,31.859,22.45475,11.2,55.0185
Rice,0.416,38.391,31.0356,20.3642,12.2,30.9648
Rice,0.25,34.83,31.943,21.70333,17.95,33.05133
Rice,0.34,649.7113333,27.71525,21.2295,15.931,65.69825
Rice,0.416,20.4118,30.427,19.7514,5.3041,30.0764
Rice,0.25,70.48033333,32.95133,22.70133,7.7538,32.164
Rice,0.34,677.14975,27.4365,20.95125,5.6329,70.1935
Rice,0.416,9.0624,30.2374,19.5614,8.4263,29.72
Rice,0.25,102.3963333,31.89,21.61533,6.9018,40.73367
Rice,0.34,381.355,27.44925,20.9595,5.1124,67.1945
Rice,0.416,12.5856,30.5142,19.849,5.852,30.452
Rice,0.25,53.827,31.88033,21.631,9.2097,32.587
Rice,0.34,485.40625,27.161,20.68,6.5811,66.34875
Rice,0.416,11.3668,30.5366,19.8586,6.3497,32.4492
Rice,0.25,79.951,32.23167,21.98733,7.2724,36.24233
Rice,0.34,469.9943333,27.3845,20.88875,6.5922,68.97775
Rice,0.25,80.84933333,32.72233,22.474,10.3329,35.69933
Rice,0.34,269.31825,27.82225,21.3365,8.0197,63.20675
Rice,0.25,36.099,33.65333,23.221,13.7452,24.608
Rice,0.34,364.90395,28.18475,21.63975,9.2562,67.1345
Rice,0.25,50.066,32.85167,22.43467,13.3655,35.533
Rice,0.34,274.94,28.01525,21.4615,7.4341,64.73825
Rice,0.25,44.49,32.655,22.22,14.4581,25.77933
Rice,0.34,223.791,27.95725,21.40325,7.1603,62.9595
Rice,0.25,29.917,32.846,22.41267,9.8593,27.72633
Rice,0.34,215.54,28.00225,21.43675,10.4015,66.03975
Rice,0.25,39.852,33.52833,23.097,13.6727,27.93233
Rice,0.34,177.2025,28.3675,21.81225,13.674,60.85425
Rice,0.416,40.053,30.2698,21.0518,7.3841,33.26
Rice,0.25,26.39,30.896,22.29633,9.3026,34.80167
Rice,0.34,421.34,27.65325,21.75325,5.9083,60.89175
Rice,0.416,21.9102,29.7588,20.5372,5.8529,32.373
Rice,0.25,54.86,31.688,23.068,7.5809,34.24767
Rice,0.34,375.59,27.42125,21.52175,5.2437,64.40425
Rice,0.416,7.3292,29.5666,20.3674,6.648,32.3288
Rice,0.25,86.151,30.88267,22.25233,5.724,42.27167
Rice,0.34,287.62,27.44775,21.54275,6.6963,62.0305
Rice,0.416,22.9044,29.8016,20.5958,7.5216,33.0616
Rice,0.25,37.42,30.83467,22.215,9.0203,34.77133
Rice,0.34,292.2265,27.18975,21.29475,7.132,60.95225
Rice,0.416,11.0712,29.8486,20.638,7.8421,34.7308
Rice,0.25,37.062,31.07033,22.45133,9.3466,38.91433
Rice,0.34,77.062,27.3695,21.4595,7.6771,63.07375
Rice,0.25,70.78,31.52533,22.901,8.5311,37.75133
Rice,0.34,221.499,27.82475,21.925,7.3627,58.07925
Rice,0.416,40.301,30.8826,18.781,9.216,31.062
Rice,0.25,48.85767,34.10033,20.97733,6.692,34.658
Rice,0.34,156.6285,29.677,20.712,7.214,67.017
Rice,0.416,18.2228,30.1278,18.0242,9.216,29.3256
Rice,0.34,215.2243,29.451,20.4655,11.6475,31.641
Rice,0.25,57.22733,35.409,22.29467,11.15,71.63275
Rice,0.25,81.525,30.0268,21.163,11.15,36.559
Rice,0.34,120.1588,29.39225,20.431,11.825,66.95225
Rice,0.25,46.25733,34.29033,21.15367,15.475,30.41233
Rice,0.34,183.859,34.296,20.1915,12.575,67.318
Rice,0.34,132.4138,29.44575,20.47025,15.4761,70.73075
Rice,0.25,44.81833,34.84567,21.70333,19.485,34.87167
Rice,0.25,63.466,34.955,21.818,18.0975,34.643
Rice,0.34,88.96525,29.9375,20.962,21.4466,64.017
Rice,0.25,21.60167,36.93833,23.63967,6.5638,22.977
Rice,0.34,70.7,29.594,21.7085,4.4255,64.2995
Rice,0.34,116.1013,29.28325,21.407,5.5341,61.84
Rice,0.25,41.75,36.11767,22.811,6.6712,32.18733
Rice,0.25,39.842,35.857,22.56167,7.2072,22.83033
Rice,0.34,137.923,29.30375,21.41525,5.4919,60.34525
Rice,0.25,22.609,36.10733,22.826,8.0338,25.52833
Rice,0.34,94.3865,29.38425,21.501,4.8948,64.1285
Rice,0.25,31.19167,36.775,23.479,8.4272,25.895
Rice,0.34,82.71375,29.6415,21.756,7.4658,57.483
Rice,0.416,42.9268,30.3674,19.2944,5.3009,33.5692
Rice,0.25,60.04567,32.005,22.33533,7.9551,36.36267
Rice,0.34,299.0778,27.686,21.83175,3.7616,68.32675
Rice,0.25,82.166,33.128,23.63967,5.3422,34.97067
Rice,0.34,503.645,27.401,21.7085,4.0158,72.665
Rice,0.416,14.712,29.557,18.3492,5.9874,32.461
Rice,0.25,114.9633,31.978,22.811,5.4438,41.92933
Rice,0.34,252.5603,27.483,21.407,4.1139,68.9975
Rice,0.416,10.7324,29.9018,18.6122,5.3834,32.6896
Rice,0.25,56.448,32.065,22.56167,7.1281,34.64433
Rice,0.34,355.3093,27.1525,21.41525,2.95,68.93725
Rice,0.416,9.8964,29.7242,18.9164,4.6125,35.5298
Rice,0.25,80.561,32.46067,22.826,6.2869,38.94967
Rice,0.34,256.152,27.382,21.501,4.4369,71.61625
Rice,0.25,87.02467,32.74667,23.479,7.3522,38.53567
Rice,0.34,163.6625,27.901,21.756,5.7496,65.075
Rice,0.416,54.7446,31.2808,21.0486,6.1654,34.807
Rice,0.25,56.324,31.94033,22.146,7.7385,37.527
Rice,0.34,455.43,28.2495,21.623,4.74,68.323
Rice,0.416,29.6134,30.681,20.4464,5.106,33.758
Rice,0.25,94.20533,32.95833,23.175,5.8996,36.43533
Rice,0.34,647.9968,27.98475,21.3615,4.974,72.15975
Rice,0.416,15.4414,30.501,20.2724,6.0283,33.8602
Rice,0.25,140.8427,31.92033,22.11867,6.1691,43.929
Rice,0.34,341.8733,28.0455,21.4225,5.117,69.0055
Rice,0.416,23.392,30.8242,20.5966,5.5538,34.243
Rice,0.25,59.861,32.00267,22.22033,7.7839,36.43133
Rice,0.34,431.9245,27.742,21.1155,4.6053,68.5345
Rice,0.416,13.1064,30.6884,20.461,6.4859,36.7944
Rice,0.25,112.4177,32.30733,22.52433,5.9121,41.222
Rice,0.34,366.761,27.95675,21.333,4.1307,70.94875
Rice,0.25,110.6673,32.62667,22.82633,8.6125,40.23933
Rice,0.34,254.9923,28.4885,21.86575,6.4685,64.79775
Rice,0.25,29.09767,37.551,23.24467,5.3137,26.80267
Rice,0.34,88.04275,31.25275,22.46475,5.3977,57.281
Rice,0.25,15.00667,39.06367,24.76533,5.4775,21.553
Rice,0.34,128.9663,31.217,22.4135,2.75,62.07225
Rice,0.25,37.41467,38.163,23.865,3.9171,28.87933
Rice,0.34,86.22275,30.7865,21.98075,3.7908,59.4515
Rice,0.25,33.59767,37.87833,23.572,5.1379,20.16867
Rice,0.34,106.735,30.8615,22.06325,3.6931,57.66375
Rice,0.25,15.75067,38.21067,23.91367,5.4253,23.864
Rice,0.34,83.82975,30.9885,22.1975,3.0385,62.573
Rice,0.25,26.031,38.84867,24.532,5.4978,23.967
Rice,0.34,68.8095,31.14125,22.34325,4.6682,54.79875
Rice,0.25,21.46367,26.23833,19.07133,9.7379,22.11633
Rice,0.34,393.6855,23.5635,18.62975,4.3561,50.13475
Rice,0.25,37.53433,26.95767,19.795,7.7026,21.672
Rice,0.34,423.2448,23.33025,18.389,4.5012,54.36475
Rice,0.25,53.743,26.16633,19.005,8.3261,30.32767
Rice,0.34,306.1275,23.2575,18.33125,4.0971,52.366
Rice,0.25,38.10133,26.034,18.871,8.4167,22.73767
Rice,0.34,361.856,23.099,18.1655,4.227,51.0945
Rice,0.25,38.386,26.33733,19.18367,8.494,24.45767
Rice,0.34,311.5988,23.2465,18.32675,6.14,53.1685
Rice,0.25,44.05233,26.93933,19.77567,8.964,24.28633
Rice,0.34,225.248,23.52675,18.585,5.36,49.30575
Rice,0.416,31.9598,30.7876,18.571,6.6673,28.7748
Rice,0.25,54.10333,33.29733,20.37167,8.7542,31.806
Rice,0.34,173.716,28.25575,20.27025,5.3462,65.12575
Rice,0.416,14.4062,30.0456,17.8202,4.79102,27.2122
Rice,0.25,61.36533,34.57867,21.66267,7.5021,29.44867
Rice,0.34,268.6213,28.0375,20.049,4.4593,69.8055
Rice,0.416,10.0254,29.9162,17.7088,6.309,26.96
Rice,0.25,85.141,33.42867,20.49867,7.0653,36.469
Rice,0.34,151.6808,28.022,20.03225,8.5803,66.16725
Rice,0.416,4.3616,30.2628,18.0432,9.0205,27.5278
Rice,0.25,52.11433,33.419,20.505,10.4919,28.883
Rice,0.34,216.1733,27.786,19.795,6.8036,65.88825
Rice,0.416,7.7014,30.1726,17.9558,7.7424,30.319
Rice,0.25,55.71233,33.857,20.93367,9.7705,32.741
Rice,0.34,142.8833,27.9705,19.9785,6.9484,69.1455
Rice,0.25,61.30933,34.17,21.25267,10.3339,32.74067
Rice,0.34,97.22175,28.438,20.44375,10.4576,62.23925
Rice,0.34,399.9275,29.6605,22.72925,16.07,74.58
Rice,0.34,206.932,29.6685,22.74875,16,66.76
Rice,0.34,303.3891429,29.515,22.60125,8.3,68.31
Rice,0.34,271.8862857,29.4635,22.5255,14.42,70.89
Rice,0.34,215.6087143,29.8145,22.88975,12.2,67.83
Rice,1,320.8868571,32.79867,22.66725,15.85,50.14
Rice,0.34,399.9275,32.079,22.72925,13.31,72.14
Rice,0.34,206.932,32.16,22.74875,14.98,65.17
Rice,0.34,303.3891429,31.87975,22.60125,14.4,66.483
Rice,0.34,271.8862857,31.977,22.5255,11.2,69.236
Rice,0.34,215.6087143,32.44275,22.88975,12.2,65.317
Rice,1,320.8868571,33.02158,24.07067,17.95,49.937
Rice,0.34,399.9275,33.034,24.51675,15.931,72.147
Rice,0.34,206.932,32.96675,24.43625,16.9,64.03
Rice,0.34,303.3891429,32.74,24.21,13.76025,65.49
Rice,0.34,271.8862857,32.8655,24.35425,17.5617,68.22
Rice,0.34,215.6087143,33.2405,24.7105,14.944,66.58
Rice,1,320.8868571,32.34958,24.67617,13.3,53.424
Rice,0.34,399.9275,32.35225,25.02375,10.55,73.34
Rice,0.34,206.932,32.3385,25.00125,16.872,66
Rice,0.34,303.3891429,32.07425,24.7425,18.85,67.359
Rice,0.34,271.8862857,32.0785,24.747,10.6,69.65
Rice,0.34,215.6087143,32.417,25.0855,8.4,67.967
Rice,1,320.8868571,30.853,23.64708,7.08,55.077
Rice,0.34,399.9275,30.384,23.8675,9.56,71.306
Rice,0.34,206.932,30.36125,23.845,12.2,64.744
Rice,0.34,303.3891429,30.18575,23.6705,7.84,66.02
Rice,0.34,271.8862857,30.06675,23.55125,8.84,68.174
Rice,0.34,215.6087143,30.349,23.83275,15.4,65.723
Rice,1,320.8868571,33.33425,23.32692,11.19,49.437
Rice,0.34,399.9275,32.69975,23.6875,11.23,71.913
Rice,0.34,206.932,32.742,23.72675,21.8,64.987
Rice,0.34,303.3891429,32.46875,23.45325,17.08,66.258
Rice,0.34,271.8862857,32.615,23.60225,15.51,69.025
Rice,0.34,215.6087143,33.07325,24.0585,12.03,65.348
Rice,1,320.8868571,32.69225,24.97183,9.9,51.975
Rice,0.34,399.9275,33.0565,25.39375,6.6,72.408
Rice,0.34,206.932,32.95675,25.292,2.65,65.121
Rice,0.34,303.3891429,32.726,25.0685,16.79,66.405
Rice,0.34,271.8862857,32.8035,25.14775,9.1,68.965
Rice,0.34,215.6087143,33.131,25.47575,9.24,67.39
Rice,1,320.8868571,30.30533,22.63833,9.64,55.344
Rice,0.34,399.9275,29.097,22.48125,7.65,74.538
